file,hash,h
String,String,String
Archer_Tower_Fire_01.ogg,893eaf3fc40ea8c0d5a8aeb2f1457af7,
Archer_Tower_Fire_02.ogg,c869414cd2a947e5077259e457a1a3c0,
Archer_Tower_Fire_03.ogg,95f63f1d6318c6032ead787a219cdce5,
Ash_Head_Emot_Angry.png,49ea2d2c164c203ca1fa57d0c1c21fed,
Ash_Head_Emot_Angry@2x~ipad.png,05e932f0a57837d4bb198c39821ed73b,
Ash_Head_Emot_Cheeky@2x~ipad.png,eb7306a608a18c3360f3c570c733ee60,
Ash_Head_Emot_Disgusted.png,3a5cfe16fc547d6e7d9a2b1b7f0af875,
Ash_Head_Emot_Sad@2x~ipad.png,beb98b8f3789a5211a38f29b8653c58d,
Ash_Head_Emot_Surprised.png,316599e8e15bcf127982967af726ba64,
Ash_Torso_Emot_Cheeky.png,5baa5df6c37449f2fce9221dca047b65,
Ash_Torso_Emot_Happy@2x~ipad.png,e9526bef11fa9dc5107a144e8247a857,
Ballista_Fire_01.ogg,6d9d8041625ad6959972c7f1d8a1140b,
Ballista_Fire_02.ogg,bb83367c36a32752aa81283d9597d500,
Ballista_Fire_03.ogg,90c22930becb875f127441522da3a7fa,
Ballista_Fire_04.ogg,1f6879f767bcdbf6d3b103104db8c104,
Base_Destruction_01.ogg,7109f9607c0b8e3eb5bad10c52ad6961,
Boat_Destruct_01.ogg,e6b0211524ab3925f7f1c6c480304abc,
Boat_Destruct_02.ogg,c883bcc086ccf6ce8bb3c80f35e9dcc8,
Bridge_destruct_01.ogg,ddb66a6f33459ba6c78fd658984e70b0,
Bridge_destruct_02.ogg,42ff5b633f26a61c8c0cb6b00f6cb7d7,
Bridge_destruct_03.ogg,aa6def47cad74acac03e0f0bd61361b4,
Cannon_Tower_Fire_01.ogg,49bd83a37cd0378d82ce447b7d6a6744,
Cannon_Tower_Fire_02.ogg,d9dd60965e7b577138ae242dfe736c92,
Cannon_Tower_Fire_03.ogg,62eae78ffdf0ab867dac945694c3f2f5,
Cannon_Tower_Fire_04.ogg,1a89a02f08a3a2d7707a3d5ef4d97438,
ChainLightning_Cast.ogg,15d04c2aab546bf09e10dc733a24ffd2,
ChainLightning_JumpHit_01.ogg,9d83fb13d388e74e0ede9b2baadfb421,
ChainLightning_JumpHit_02.ogg,e9fea565685ac1cc00096946f7bc8d07,
ChainLightning_JumpHit_03.ogg,7e866ffb41d52eac2a6a87573d44cf13,
ChainLightning_charged.ogg,76732303434e7eaf01bbc330b1d9f6db,
Cin_DragonFlyBy_04.ogg,59845e7bf6846600f9a5361ececbbb08,
Cin_IncubationComplete.ogg,2fc3258ab4ec5be4021a80fd6c7c5eba,
Cin_IncubationStart.ogg,1ed8cce37cd84d6b16e58c988fb21a7a,
Defeat_Music.ogg,469347412da3a25accc024b3bf7f18aa,
Dragon_Glide_01.ogg,21c50b1b6d97aba4b8795fdfa19c5cad,
Dragon_Glide_02.ogg,f85b9040df1a1bd35c9b7e5343a8f1d7,
Dragon_Glide_03.ogg,7d7c03b05fd5502cf55514095bd77ece,
Dragon_Glide_Nonflap_01.ogg,390de547cbc288dde3e465f80309526d,
Dragon_Glide_Nonflap_02.ogg,4d300ab048977a07a3176e9e510fc943,
Dragon_Glide_Nonflap_03.ogg,e527baf2c9484b7011a89fe77f496bc9,
Dragon_Wingflap_Generic_Mono_01.ogg,ef231f871a86d42ee20932eb48332bef,
Dragon_Wingflap_Generic_Mono_02.ogg,beb38f2b89e7b1548f1b6083176dac66,
Dragon_Wingflap_Generic_Mono_03.ogg,ca9b438ff908184ec5d2a9aa4acb2449,
Dragon_Wingflap_Generic_Mono_04.ogg,7c0c4af2e95d8850efa99ebef23eaab4,
Dragon_Wingflap_Generic_Mono_05.ogg,627638fa33c79384dd3d9067365971e3,
Flamethrower_Damage_Building_01.ogg,228653455e923a9a4308cba96341b758,
Flamethrower_Damage_Building_02.ogg,b31e5aba5bff968961a62221356cf432,
Hunter_Attack_BuildingHit_Mono_01.ogg,71cd7956f65c1cae910aa4cec3823195,
Hunter_Attack_BuildingHit_Mono_02.ogg,349e1dc79978b8d9bcaa6b4da7f81bb7,
Hunter_Attack_BuildingHit_Mono_03.ogg,8ec17a1ca3d67ec6d8252b4a4534930a,
Hunter_Attack_BuildingHit_Mono_04.ogg,2ec2c7a54bb49020c9ef9e3485d03be8,
Hunter_Attack_Release_Stereo_01.ogg,fc957735d4fb30362f1b12027c777df2,
Hunter_Attack_Release_Stereo_02.ogg,c2776e3a8b0ee09363eaf4e3574e9b10,
Hunter_Attack_Release_Stereo_03.ogg,c7107fea2f2cce314ae59c5c2ebd8339,
Hunter_Attack_Release_Stereo_04.ogg,353ae18b7cc650164c187326e501a198,
Hut_Destruction_01.ogg,a522c57ad48f4138516220bdcfed4cd8,
Hut_Destruction_02.ogg,7e53684cd0e4af358e810f000bd5a9b2,
Hut_Destruction_03.ogg,02548fb1e3fbf9dc6af80c42b0899d61,
Lightning_Tower_Fire_01.ogg,5745b49b398642c11df2f66553aac536,
Lightning_Tower_Fire_02.ogg,8b24079428d79a2abc9ac3bc9dc7a1b0,
Lightning_Tower_Fire_03.ogg,31ac7251743234065bcde77501ffa1f3,
PreBattle_Music.ogg,3b835e041f0dcc69a883835c81bfc1c0,
SeigeIcon1.png,ad2eba51a27664d93dd8770cf1e47ea4,
SeigeIcon1@2x~ipad.png,279acc14ad025bb1d7f3705e6bbf8f73,
SeigeIcon3.png,9004846c93a552b4a3d72eb4220b39ec,
Select_Water_01.ogg,415e4c857ca321ad0c1ef85555b287c7,
Select_Water_02.ogg,a6347304fa815635c223a1043a376fd4,
Select_Water_03.ogg,cc69449fa86027565a5aa34aaa16e868,
Select_Water_04.ogg,0dedee33d18e05e34420d9d52dcc9479,
Sorcerer_Attack_Release_Stereo_01.ogg,0b3ecbd26daf7a4f343d2bf7e1fa17bf,
Sorcerer_Attack_Release_Stereo_02.ogg,02ab466f54e02a9bbc2a4ea3b328199a,
Sorcerer_Attack_Release_Stereo_03.ogg,dfc414d358ea33c9754a1406f1bcf0cf,
StormTower_Loop_01.ogg,22b80b7444fdd83bb0b1e8690fa6bf26,
Tower_Damage_Death_Mono_01.ogg,41e28345031e1d1bd52cd15caad46ca8,
Tower_Damage_Death_Mono_02.ogg,dc994f55b20cf492d727c3aa2ee8c47f,
Tower_Damage_Death_Mono_03.ogg,a32b4fbc13f5495437d80ba7a8a7342f,
Trebuchet_Fire_01.ogg,46ecf778feb8ab40e72bd5046b9c3cf5,
Trebuchet_Fire_02.ogg,eb3fb7b1da86c91a7ced9d4125b6f748,
Trebuchet_Fire_03.ogg,ccb3bbc684c199de78144061d786b76d,
UI_Attacker_In.ogg,4e8a6f8974b88202f099cc28ff6d1149,
UI_BaseDestroyed_Rebuilding.ogg,126a93dc2c66ddea8f6fae7041b698bd,
UI_CastAbility.ogg,2d988859d8c4b2ce1023fba2bb5a8061,
UI_Click_AttackButton.ogg,db8fb6e88ae48cf1f68a82d983175d21,
UI_Close.ogg,2dea4ab8b124e041679cc249c769f31f,
UI_Collect_Food.ogg,62606fb4d6a6f0b303562fcb47b86796,
UI_Collect_Gems.ogg,0cdc764dddf61203f31f818f805d9124,
UI_Collect_Wood.ogg,62208b37dd3494c514bea5e730fdcdc4,
UI_ComicPageTurn_01.ogg,463f804a61fb3fa9f8fba5dc8b990413,
UI_ComicPageTurn_02.ogg,b92017666dbcd82e38f6ebeb5d4441ac,
UI_ComicPageTurn_03.ogg,6c9658a0166af60cbd8525ec511e4ea7,
UI_ComicPageTurn_04.ogg,52ff7f0ebfa20e9d131e6f2da1b26b70,
UI_ComicPanel_01.ogg,385507183ab86806bcfef9fe2d2f5d3c,
UI_ComicPanel_03.ogg,0d5800f1ae4cf4b2c9f7390f491a9e6f,
UI_ComicPanel_04.ogg,252df88e4773b3ca44484a605035aecd,
UI_Construction_Complete.ogg,1c6234091d0234199fa7158d6cd1fa8f,
UI_Construction_InProgress.ogg,a2593139daa86f8586e1dbe61dcb8d4e,
UI_Construction_Start.ogg,01af93dcaa66aba588e5c3c5132b060f,
UI_Defender_In.ogg,9410bf6eaf44d96c08161f843afe8512,
